Helsinki-NLP/opus-mt-it-de,Italian to German
Helsinki-NLP/opus-mt-it-is,Italian to Icelandic
Helsinki-NLP/opus-mt-it-lt,Italian to Lithuanian
Helsinki-NLP/opus-mt-it-es,Italian to Spanish
Helsinki-NLP/opus-mt-it-sv,Italian to Swedish
Helsinki-NLP/opus-mt-it-uk,Italian to Ukrainian
Helsinki-NLP/opus-mt-it-vi,Italian to Vietnamese
Helsinki-NLP/opus-mt-ja-ar,Japanese to Arabic
Helsinki-NLP/opus-mt-ja-bg,Japanese to Bulgarian
Helsinki-NLP/opus-mt-ja-da,Japanese to Danish
Helsinki-NLP/opus-mt-ja-nl,Japanese to Dutch
Helsinki-NLP/opus-mt-ja-en,Japanese to English
Helsinki-NLP/opus-mt-ja-fi,Japanese to Finnish
Helsinki-NLP/opus-mt-ja-fr,Japanese to French
Helsinki-NLP/opus-mt-ja-de,Japanese to German
Helsinki-NLP/opus-mt-ja-he,Japanese to Hebrew
Helsinki-NLP/opus-mt-ja-hu,Japanese to Hungarian
Helsinki-NLP/opus-mt-ja-it,Japanese to Italian
Helsinki-NLP/opus-mt-ja-pl,Japanese to Polish
Helsinki-NLP/opus-mt-ja-pt,Japanese to Portuguese
Helsinki-NLP/opus-mt-ja-ru,Japanese to Russian
Helsinki-NLP/opus-mt-ja-es,Japanese to Spanish
Helsinki-NLP/opus-mt-ja-sv,Japanese to Swedish
Helsinki-NLP/opus-mt-ja-tr,Japanese to Turkish
Helsinki-NLP/opus-mt-ja-vi,Japanese to Vietnamese
Helsinki-NLP/opus-mt-ko-en,Korean to English
Helsinki-NLP/opus-mt-ko-fi,Korean to Finnish
Helsinki-NLP/opus-mt-ko-fr,Korean to French
Helsinki-NLP/opus-mt-ko-de,Korean to German
Helsinki-NLP/opus-mt-ko-hu,Korean to Hungarian
Helsinki-NLP/opus-mt-ko-ru,Korean to Russian
Helsinki-NLP/opus-mt-ko-es,Korean to Spanish
Helsinki-NLP/opus-mt-ko-sv,Korean to Swedish
Helsinki-NLP/opus-mt-lv-en,Latvian to English
Helsinki-NLP/opus-mt-lv-fi,Latvian to Finnish
Helsinki-NLP/opus-mt-lv-fr,Latvian to French
Helsinki-NLP/opus-mt-lv-ru,Latvian to Russian
Helsinki-NLP/opus-mt-lv-es,Latvian to Spanish
Helsinki-NLP/opus-mt-lv-sv,Latvian to Swedish
Helsinki-NLP/opus-mt-lt-fr,Lithuanian to French
Helsinki-NLP/opus-mt-lt-de,Lithuanian to German
Helsinki-NLP/opus-mt-lt-it,Lithuanian to Italian
Helsinki-NLP/opus-mt-lt-pl,Lithuanian to Polish
Helsinki-NLP/opus-mt-lt-ru,Lithuanian to Russian
Helsinki-NLP/opus-mt-lt-es,Lithuanian to Spanish
Helsinki-NLP/opus-mt-lt-sv,Lithuanian to Swedish
Helsinki-NLP/opus-mt-lt-tr,Lithuanian to Turkish
Helsinki-NLP/opus-mt-mk-en,Macedonian to English
Helsinki-NLP/opus-mt-mk-fi,Macedonian to Finnish
Helsinki-NLP/opus-mt-mk-fr,Macedonian to French
Helsinki-NLP/opus-mt-mk-es,Macedonian to Spanish
Helsinki-NLP/opus-mt-mt-en,Maltese to English
Helsinki-NLP/opus-mt-mt-fi,Maltese to Finnish
Helsinki-NLP/opus-mt-mt-fr,Maltese to French
Helsinki-NLP/opus-mt-mt-es,Maltese to Spanish
